visit_date,hits,visitors,mean,anomalyClass
2017-02-13,9,6,1.5,0
2017-02-14,32,3,10.666666666666666,0
2017-02-15,7,6,1.1666666666666667,0
2017-02-16,12,10,1.2,0
2017-02-17,3,3,1.0,0
2017-02-18,12,11,1.0909090909090908,0
2017-02-19,2,2,1.0,0
2017-02-20,63,6,10.5,0
2017-02-21,5,4,1.25,0
2017-02-22,11,9,1.2222222222222223,0
2017-02-23,22,15,1.4666666666666666,0
2017-02-24,18,6,3.0,0
2017-02-25,8,8,1.0,0
2017-02-26,14,5,2.8,0
2017-02-27,10,7,1.4285714285714286,0
2017-02-28,2,2,1.0,0
2017-03-01,13,6,2.1666666666666665,0
2017-03-02,8,7,1.1428571428571428,0
2017-03-03,13,6,2.1666666666666665,0
2017-03-04,6,4,1.5,0
2017-03-05,7,3,2.3333333333333335,0
2017-03-06,30,21,1.4285714285714286,0
2017-03-07,61,5,12.2,0
2017-03-08,14,5,2.8,0
2017-03-09,21,9,2.3333333333333335,0
2017-03-10,1,1,1.0,0
2017-03-11,1,1,1.0,0
2017-03-12,4,4,1.0,0
2017-03-13,12,10,1.2,0
2017-03-14,20,6,3.3333333333333335,0
2017-03-15,4,4,1.0,0
2017-03-16,3,3,1.0,0
2017-03-17,4,4,1.0,0
2017-03-18,10,10,1.0,0
2017-03-19,3,3,1.0,0
2017-03-20,18,11,1.6363636363636365,0
2017-03-21,7,6,1.1666666666666667,0
2017-03-22,15,6,2.5,0
2017-03-23,23,17,1.3529411764705883,0
2017-03-24,6,6,1.0,0
2017-03-25,11,10,1.1,0
2017-03-26,24,8,3.0,0
2017-03-27,19,13,1.4615384615384615,0
2017-03-28,22,15,1.4666666666666666,0
2017-03-29,18,10,1.8,0
2017-03-30,21,10,2.1,0
2017-03-31,24,10,2.4,0
2017-04-01,45,11,4.090909090909091,0
2017-04-02,22,13,1.6923076923076923,0
2017-04-03,35,19,1.8421052631578947,0
2017-04-04,19,10,1.9,0
2017-04-05,2,2,1.0,0
2017-04-06,9,5,1.8,0
2017-04-07,0,0,0.0,0
2017-04-08,16,8,2.0,0
2017-04-09,30,14,2.142857142857143,0
2017-04-10,8,7,1.1428571428571428,0
2017-04-11,15,12,1.25,0
2017-04-12,25,11,2.272727272727273,0
2017-04-13,24,13,1.8461538461538463,0
2017-04-14,14,7,2.0,0
2017-04-15,9,9,1.0,0
2017-04-16,19,11,1.7272727272727273,0
2017-04-17,17,15,1.1333333333333333,0
2017-04-18,6,3,2.0,0
2017-04-19,29,6,4.833333333333333,0
2017-04-20,1,1,1.0,0
2017-04-21,38,8,4.75,0
2017-04-22,7,6,1.1666666666666667,0
2017-04-23,7,7,1.0,0
2017-04-24,12,10,1.2,0
2017-04-25,7,6,1.1666666666666667,0
2017-04-26,5,5,1.0,0
2017-04-27,7,5,1.4,0
