visit_date,hits,visitors,mean,anomalyClass
2017-02-13,112,31,3.6129032258064515,0
2017-02-14,98,26,3.769230769230769,0
2017-02-15,177,41,4.317073170731708,0
2017-02-16,139,25,5.56,0
2017-02-17,130,29,4.482758620689655,0
2017-02-18,104,22,4.7272727272727275,0
2017-02-19,117,28,4.178571428571429,0
2017-02-20,126,24,5.25,0
2017-02-21,471,33,14.272727272727273,1
2017-02-22,173,58,2.9827586206896552,0
2017-02-23,105,21,5.0,0
2017-02-24,113,24,4.708333333333333,0
2017-02-25,98,22,4.454545454545454,0
2017-02-26,159,19,8.368421052631579,0
2017-02-27,307,30,10.233333333333333,1
2017-02-28,108,29,3.7241379310344827,0
2017-03-01,112,21,5.333333333333333,0
2017-03-02,161,35,4.6,0
2017-03-03,112,27,4.148148148148148,0
2017-03-04,89,23,3.869565217391304,0
2017-03-05,156,36,4.333333333333333,0
2017-03-06,144,44,3.272727272727273,0
2017-03-07,122,34,3.588235294117647,0
2017-03-08,185,34,5.4411764705882355,0
2017-03-09,126,38,3.3157894736842106,0
2017-03-10,103,19,5.421052631578948,0
2017-03-11,92,22,4.181818181818182,0
2017-03-12,169,27,6.2592592592592595,0
2017-03-13,136,33,4.121212121212121,0
2017-03-14,696,27,25.77777777777778,1
2017-03-15,101,17,5.9411764705882355,0
2017-03-16,128,31,4.129032258064516,0
2017-03-17,98,16,6.125,0
2017-03-18,159,22,7.2272727272727275,0
2017-03-19,108,22,4.909090909090909,0
2017-03-20,103,24,4.291666666666667,0
2017-03-21,123,32,3.84375,0
2017-03-22,136,42,3.238095238095238,0
2017-03-23,124,41,3.024390243902439,0
2017-03-24,106,24,4.416666666666667,0
2017-03-25,190,38,5.0,0
2017-03-26,171,38,4.5,0
2017-03-27,180,29,6.206896551724138,0
2017-03-28,183,25,7.32,0
2017-03-29,163,44,3.7045454545454546,0
2017-03-30,148,24,6.166666666666667,0
2017-03-31,123,30,4.1,0
2017-04-01,94,15,6.266666666666667,0
2017-04-02,207,41,5.048780487804878,0
2017-04-03,183,24,7.625,0
2017-04-04,118,28,4.214285714285714,0
2017-04-05,97,20,4.85,0
2017-04-06,117,23,5.086956521739131,0
2017-04-07,102,17,6.0,0
2017-04-08,127,17,7.470588235294118,0
2017-04-09,272,37,7.351351351351352,0
2017-04-10,157,24,6.541666666666667,0
2017-04-11,207,23,9.0,0
2017-04-12,167,44,3.7954545454545454,0
2017-04-13,113,19,5.947368421052632,0
2017-04-14,126,25,5.04,0
2017-04-15,86,21,4.095238095238095,0
2017-04-16,146,20,7.3,0
2017-04-17,127,33,3.8484848484848486,0
2017-04-18,123,33,3.727272727272727,0
2017-04-19,219,32,6.84375,0
2017-04-20,261,40,6.525,0
2017-04-21,163,25,6.52,0
2017-04-22,85,15,5.666666666666667,0
2017-04-23,127,19,6.684210526315789,0
2017-04-24,164,27,6.074074074074074,0
2017-04-25,716,33,21.696969696969695,1
2017-04-26,113,24,4.708333333333333,0
2017-04-27,104,22,4.7272727272727275,0
2017-04-28,159,22,7.2272727272727275,0
2017-04-29,99,17,5.823529411764706,0
2017-04-30,113,16,7.0625,0
2017-05-01,179,33,5.424242424242424,0
2017-05-02,149,38,3.9210526315789473,0
2017-05-03,203,38,5.342105263157895,0
2017-05-04,139,37,3.7567567567567566,0
2017-05-05,120,24,5.0,0
2017-05-06,68,15,4.533333333333333,0
2017-05-07,1077,38,28.342105263157894,1
2017-05-08,177,24,7.375,0
2017-05-09,111,19,5.842105263157895,0
2017-05-10,150,36,4.166666666666667,0
2017-05-11,130,34,3.823529411764706,0
2017-05-12,78,19,4.105263157894737,0
2017-05-13,87,22,3.9545454545454546,0
2017-05-14,110,24,4.583333333333333,0
2017-05-15,150,25,6.0,0
2017-05-16,113,22,5.136363636363637,0
2017-05-17,111,22,5.045454545454546,0
2017-05-18,145,26,5.576923076923077,0
2017-05-19,206,24,8.583333333333334,0
2017-05-20,135,18,7.5,0
2017-05-21,208,30,6.933333333333334,0
2017-05-22,112,21,5.333333333333333,0
2017-05-23,112,24,4.666666666666667,0
2017-05-24,157,21,7.476190476190476,0
2017-05-25,107,22,4.863636363636363,0
2017-05-26,91,19,4.7894736842105265,0
2017-05-27,109,21,5.190476190476191,0
2017-05-28,147,21,7.0,0
2017-05-29,158,34,4.647058823529412,0
2017-05-30,100,20,5.0,0
2017-05-31,181,23,7.869565217391305,0
2017-06-01,126,36,3.5,0
2017-06-02,130,30,4.333333333333333,0
2017-06-03,101,18,5.611111111111111,0
2017-06-04,167,29,5.758620689655173,0
2017-06-05,136,36,3.7777777777777777,0
2017-06-06,590,31,19.032258064516128,1
2017-06-07,734,43,17.069767441860463,1
2017-06-08,125,19,6.578947368421052,0
2017-06-09,97,12,8.083333333333334,0
2017-06-10,107,21,5.095238095238095,0
2017-06-11,258,40,6.45,0
2017-06-12,87,13,6.6923076923076925,0
2017-06-13,130,21,6.190476190476191,0
2017-06-14,113,25,4.52,0
2017-06-15,113,25,4.52,0
2017-06-16,286,20,14.3,1
2017-06-17,104,25,4.16,0
2017-06-18,183,34,5.382352941176471,0
2017-06-19,127,30,4.233333333333333,0
2017-06-20,121,31,3.903225806451613,0
2017-06-21,100,16,6.25,0
2017-06-22,150,30,5.0,0
2017-06-23,155,16,9.6875,0
2017-06-24,125,21,5.9523809523809526,0
2017-06-25,176,28,6.285714285714286,0
2017-06-26,140,30,4.666666666666667,0
2017-06-27,115,31,3.7096774193548385,0
2017-06-28,124,25,4.96,0
2017-06-29,140,35,4.0,0
2017-06-30,155,27,5.7407407407407405,0
2017-07-01,112,19,5.894736842105263,0
2017-07-02,243,34,7.147058823529412,0
2017-07-03,109,29,3.7586206896551726,0
2017-07-04,168,31,5.419354838709677,0
2017-07-05,192,43,4.465116279069767,0
2017-07-06,164,29,5.655172413793103,0
2017-07-07,96,17,5.647058823529412,0
2017-07-08,117,37,3.1621621621621623,0
2017-07-09,164,29,5.655172413793103,0
2017-07-10,94,16,5.875,0
2017-07-11,113,24,4.708333333333333,0
2017-07-12,237,27,8.777777777777779,1
2017-07-13,100,21,4.761904761904762,0
2017-07-14,97,20,4.85,0
2017-07-15,144,34,4.235294117647059,0
2017-07-16,160,19,8.421052631578947,0
2017-07-17,139,40,3.475,0
2017-07-18,193,28,6.892857142857143,0
2017-07-19,698,33,21.151515151515152,1
2017-07-20,132,29,4.551724137931035,0
2017-07-21,85,14,6.071428571428571,0
2017-07-22,94,17,5.529411764705882,0
2017-07-23,175,27,6.481481481481482,0
2017-07-24,111,25,4.44,0
2017-07-25,175,27,6.481481481481482,0
2017-07-26,163,22,7.409090909090909,0
2017-07-27,93,16,5.8125,0
2017-07-28,65,16,4.0625,0
2017-07-29,74,13,5.6923076923076925,0
2017-07-30,145,22,6.590909090909091,0
2017-07-31,90,15,6.0,0
2017-08-01,144,29,4.9655172413793105,0
2017-08-02,133,29,4.586206896551724,0
2017-08-03,93,13,7.153846153846154,0
2017-08-04,117,16,7.3125,0
2017-08-05,81,12,6.75,0
2017-08-06,186,24,7.75,0
2017-08-07,133,23,5.782608695652174,0
2017-08-08,135,37,3.6486486486486487,0
2017-08-09,124,30,4.133333333333334,0
2017-08-10,105,19,5.526315789473684,0
2017-08-11,148,13,11.384615384615385,0
2017-08-12,109,24,4.541666666666667,0
2017-08-13,171,26,6.576923076923077,0
2017-08-14,138,22,6.2727272727272725,0
2017-08-15,308,20,15.4,1
2017-08-16,181,21,8.619047619047619,0
2017-08-17,113,21,5.380952380952381,0
2017-08-18,90,19,4.7368421052631575,0
2017-08-19,96,17,5.647058823529412,0
2017-08-20,154,19,8.105263157894736,0
2017-08-21,166,19,8.736842105263158,0
2017-08-22,134,25,5.36,0
2017-08-23,107,33,3.242424242424242,0
2017-08-24,140,27,5.185185185185185,0
2017-08-25,110,32,3.4375,0
2017-08-26,152,13,11.692307692307692,0
2017-08-27,170,23,7.391304347826087,0
2017-08-28,119,25,4.76,0
2017-08-29,145,38,3.8157894736842106,0
2017-08-30,703,26,27.03846153846154,1
2017-08-31,195,29,6.724137931034483,0
2017-09-01,101,10,10.1,0
2017-09-02,100,16,6.25,0
2017-09-03,150,13,11.538461538461538,0
2017-09-04,98,23,4.260869565217392,0
2017-09-05,123,18,6.833333333333333,0
2017-09-06,117,17,6.882352941176471,0
2017-09-07,227,25,9.08,0
2017-09-08,95,20,4.75,0
2017-09-09,83,18,4.611111111111111,0
2017-09-10,162,24,6.75,0
2017-09-11,116,23,5.043478260869565,0
2017-09-12,80,19,4.2105263157894735,0
2017-09-13,196,20,9.8,0
2017-09-14,117,22,5.318181818181818,0
2017-09-15,101,16,6.3125,0
2017-09-16,124,17,7.294117647058823,0
2017-09-17,152,27,5.62962962962963,0
2017-09-18,177,34,5.205882352941177,0
2017-09-19,140,31,4.516129032258065,0
2017-09-20,126,30,4.2,0
2017-09-21,121,32,3.78125,0
2017-09-22,84,13,6.461538461538462,0
2017-09-23,122,22,5.545454545454546,0
2017-09-24,173,27,6.407407407407407,0
2017-09-25,193,53,3.641509433962264,0
2017-09-26,112,23,4.869565217391305,0
2017-09-27,104,22,4.7272727272727275,0
2017-09-28,126,21,6.0,0
2017-09-29,95,18,5.277777777777778,0
2017-09-30,230,37,6.216216216216216,0
2017-10-01,185,31,5.967741935483871,0
2017-10-02,145,20,7.25,0
2017-10-03,121,20,6.05,0
2017-10-04,106,24,4.416666666666667,0
2017-10-05,86,34,2.5294117647058822,0
2017-10-06,137,39,3.5128205128205128,0
2017-10-07,150,26,5.769230769230769,0
2017-10-08,205,20,10.25,0
2017-10-09,131,30,4.366666666666666,0
2017-10-10,103,22,4.681818181818182,0
2017-10-11,704,26,27.076923076923077,1
2017-10-12,148,26,5.6923076923076925,0
2017-10-13,92,15,6.133333333333334,0
2017-10-14,128,18,7.111111111111111,0
2017-10-15,152,19,8.0,0
2017-10-16,166,26,6.384615384615385,0
2017-10-17,124,21,5.904761904761905,0
2017-10-18,167,39,4.282051282051282,0
2017-10-19,180,27,6.666666666666667,0
2017-10-20,118,20,5.9,0
2017-10-21,154,19,8.105263157894736,0
2017-10-22,185,22,8.409090909090908,0
2017-10-23,121,27,4.481481481481482,0
2017-10-24,160,32,5.0,0
2017-10-25,138,23,6.0,0
2017-10-26,93,20,4.65,0
2017-10-27,90,17,5.294117647058823,0
2017-10-28,129,23,5.608695652173913,0
2017-10-29,196,29,6.758620689655173,0
2017-10-30,112,23,4.869565217391305,0
2017-10-31,96,21,4.571428571428571,0
2017-11-01,120,25,4.8,0
2017-11-02,202,32,6.3125,0
2017-11-03,129,18,7.166666666666667,0
2017-11-04,156,40,3.9,0
2017-11-05,202,33,6.121212121212121,0
2017-11-06,215,42,5.119047619047619,0
2017-11-07,146,32,4.5625,0
2017-11-08,112,26,4.3076923076923075,0
2017-11-09,123,15,8.2,0
2017-11-10,108,20,5.4,0
2017-11-11,86,18,4.777777777777778,0
2017-11-12,152,29,5.241379310344827,0
2017-11-13,150,30,5.0,0
2017-11-14,141,32,4.40625,0
2017-11-15,193,20,9.65,0
2017-11-16,112,22,5.090909090909091,0
2017-11-17,105,20,5.25,0
2017-11-18,94,23,4.086956521739131,0
2017-11-19,172,19,9.052631578947368,0
2017-11-20,120,21,5.714285714285714,0
2017-11-21,132,33,4.0,0
2017-11-22,724,22,32.90909090909091,1
2017-11-23,127,29,4.379310344827586,0
2017-11-24,183,27,6.777777777777778,0
2017-11-25,131,28,4.678571428571429,0
2017-11-26,181,27,6.703703703703703,0
2017-11-27,94,20,4.7,0
2017-11-28,192,29,6.620689655172414,0
2017-11-29,252,38,6.631578947368421,0
2017-11-30,114,25,4.56,0
2017-12-01,94,18,5.222222222222222,0
2017-12-02,93,24,3.875,0
2017-12-03,156,29,5.379310344827586,0
2017-12-04,139,28,4.964285714285714,0
2017-12-05,178,27,6.592592592592593,0
2017-12-06,124,24,5.166666666666667,0
2017-12-07,154,30,5.133333333333334,0
2017-12-08,127,25,5.08,0
2017-12-09,99,20,4.95,0
2017-12-10,245,29,8.448275862068966,0
2017-12-11,172,26,6.615384615384615,0
2017-12-12,180,27,6.666666666666667,0
2017-12-13,127,16,7.9375,0
2017-12-14,123,23,5.3478260869565215,0
2017-12-15,111,26,4.269230769230769,0
2017-12-16,155,17,9.117647058823529,0
2017-12-17,189,27,7.0,0
2017-12-18,119,27,4.407407407407407,0
2017-12-19,97,22,4.409090909090909,0
2017-12-20,125,22,5.681818181818182,0
2017-12-21,123,18,6.833333333333333,0
2017-12-22,183,24,7.625,0
2017-12-23,115,23,5.0,0
2017-12-24,219,19,11.526315789473685,0
2017-12-25,116,24,4.833333333333333,0
2017-12-26,99,22,4.5,0
2017-12-27,253,30,8.433333333333334,1
2017-12-28,113,18,6.277777777777778,0
2017-12-29,115,27,4.2592592592592595,0
2017-12-30,112,28,4.0,0
2017-12-31,203,26,7.8076923076923075,0
2018-01-01,181,34,5.323529411764706,0
2018-01-02,136,30,4.533333333333333,0
2018-01-03,129,25,5.16,0
2018-01-04,747,36,20.75,1
2018-01-05,185,18,10.277777777777779,0
2018-01-06,95,18,5.277777777777778,0
2018-01-07,209,36,5.805555555555555,0
2018-01-08,116,30,3.8666666666666667,0
2018-01-09,129,33,3.909090909090909,0
2018-01-10,113,24,4.708333333333333,0
2018-01-11,184,33,5.575757575757576,0
2018-01-12,181,19,9.526315789473685,0
2018-01-13,96,27,3.5555555555555554,0
2018-01-14,149,20,7.45,0
2018-01-15,208,38,5.473684210526316,0
2018-01-16,97,23,4.217391304347826,0
2018-01-17,126,25,5.04,0
2018-01-18,122,34,3.588235294117647,0
2018-01-19,127,22,5.7727272727272725,0
2018-01-20,121,22,5.5,0
2018-01-21,201,38,5.2894736842105265,0
2018-01-22,152,34,4.470588235294118,0
2018-01-23,264,31,8.516129032258064,0
2018-01-24,137,29,4.724137931034483,0
2018-01-25,196,30,6.533333333333333,0
2018-01-26,81,13,6.230769230769231,0
2018-01-27,105,18,5.833333333333333,0
2018-01-28,287,27,10.62962962962963,0
2018-01-29,162,18,9.0,0
2018-01-30,103,23,4.478260869565218,0
2018-01-31,117,23,5.086956521739131,0
2018-02-01,117,29,4.0344827586206895,0
2018-02-02,98,19,5.157894736842105,0
2018-02-03,188,26,7.230769230769231,0
2018-02-04,216,28,7.714285714285714,0
2018-02-05,863,34,25.38235294117647,1
2018-02-06,177,46,3.847826086956522,0
2018-02-07,134,33,4.0606060606060606,0
2018-02-08,160,37,4.324324324324325,0
2018-02-09,204,24,8.5,0
2018-02-10,190,25,7.6,0
2018-02-11,257,44,5.840909090909091,0
2018-02-12,159,48,3.3125,0
2018-02-13,159,37,4.297297297297297,0
2018-02-14,133,28,4.75,0
2018-02-15,799,38,21.026315789473685,1
2018-02-16,118,25,4.72,0
2018-02-17,160,34,4.705882352941177,0
2018-02-18,223,35,6.371428571428571,0
2018-02-19,182,47,3.872340425531915,0
2018-02-20,239,42,5.690476190476191,0
2018-02-21,165,37,4.45945945945946,0
2018-02-22,166,54,3.074074074074074,0
2018-02-23,157,41,3.8292682926829267,0
2018-02-24,128,34,3.764705882352941,0
2018-02-25,192,28,6.857142857142857,0
2018-02-26,144,43,3.3488372093023258,0
2018-02-27,141,34,4.147058823529412,0
2018-02-28,249,49,5.081632653061225,0
2018-03-01,168,38,4.421052631578948,0
2018-03-02,127,31,4.096774193548387,0
2018-03-03,108,25,4.32,0
2018-03-04,240,31,7.741935483870968,0
2018-03-05,146,27,5.407407407407407,0
2018-03-06,170,38,4.473684210526316,0
2018-03-07,249,41,6.073170731707317,0
2018-03-08,202,44,4.590909090909091,0
2018-03-09,163,32,5.09375,0
2018-03-10,157,33,4.757575757575758,0
2018-03-11,245,35,7.0,0
2018-03-12,183,37,4.945945945945946,0
2018-03-13,147,32,4.59375,0
2018-03-14,282,49,5.755102040816326,0
2018-03-15,163,47,3.4680851063829787,0
2018-03-16,159,58,2.7413793103448274,0
2018-03-17,135,39,3.4615384615384617,0
2018-03-18,279,47,5.9361702127659575,0
2018-03-19,146,40,3.65,0
2018-03-20,158,36,4.388888888888889,0
2018-03-21,195,45,4.333333333333333,0
2018-03-22,247,30,8.233333333333333,0
2018-03-23,178,32,5.5625,0
2018-03-24,117,43,2.7209302325581395,0
2018-03-25,214,36,5.944444444444445,0
2018-03-26,154,38,4.052631578947368,0
2018-03-27,212,53,4.0,0
2018-03-28,246,42,5.857142857142857,0
2018-03-29,721,34,21.205882352941178,1
2018-03-30,130,29,4.482758620689655,0
2018-03-31,153,37,4.135135135135135,0
2018-04-01,215,33,6.515151515151516,0
2018-04-02,122,40,3.05,0
2018-04-03,148,26,5.6923076923076925,0
2018-04-04,200,30,6.666666666666667,0
2018-04-05,263,49,5.36734693877551,0
2018-04-06,106,19,5.578947368421052,0
2018-04-07,110,35,3.142857142857143,0
2018-04-08,225,31,7.258064516129032,0
2018-04-09,239,43,5.558139534883721,0
2018-04-10,151,32,4.71875,0
2018-04-11,233,44,5.295454545454546,0
2018-04-12,102,38,2.6842105263157894,0
2018-04-13,150,37,4.054054054054054,0
2018-04-14,148,30,4.933333333333334,0
2018-04-15,232,31,7.483870967741935,0
2018-04-16,152,28,5.428571428571429,0
2018-04-17,127,28,4.535714285714286,0
2018-04-18,114,29,3.9310344827586206,0
2018-04-19,251,47,5.340425531914893,0
2018-04-20,135,27,5.0,0
2018-04-21,195,30,6.5,0
2018-04-22,189,28,6.75,0
2018-04-23,265,57,4.649122807017544,0
2018-04-24,128,30,4.266666666666667,0
2018-04-25,134,36,3.7222222222222223,0
2018-04-26,168,41,4.097560975609756,0
2018-04-27,111,30,3.7,0
2018-04-28,136,24,5.666666666666667,0
2018-04-29,230,25,9.2,0
2018-04-30,109,25,4.36,0
2018-05-01,107,25,4.28,0
2018-05-02,133,37,3.5945945945945947,0
2018-05-03,151,35,4.314285714285714,0
2018-05-04,112,22,5.090909090909091,0
2018-05-05,143,26,5.5,0
2018-05-06,196,32,6.125,0
2018-05-07,143,31,4.612903225806452,0
2018-05-08,180,40,4.5,0
